time,joint1,joint2,joint3,joint4,joint5,joint6
0.0,-1.7763568394002505e-15,-7.105427357601002e-15,1.2434497875801753e-14,-4.440892098500626e-15,-1.7763568394002505e-15,-8.881784197001252e-16
0.1,-2.332608439757705e-07,0.0029928092522278995,0.005000000000012422,-0.0037392170412218996,2.0666227182677873e-07,0.004253412523190574
0.2,-9.330433705740106e-07,0.011971237008932904,0.020000000000012362,-0.014956868164874262,8.266490926361847e-07,0.017013650092764947
0.30000000000000004,-2.0993475815710756e-06,0.02693528327010789,0.04500000000001223,-0.033652953370961504,1.8599604606518595e-06,0.0382807127087222
0.4,-3.7321734769669745e-06,0.04788494803575297,0.0800000000000122,-0.059827472659483766,3.3065963758738114e-06,0.06805460037106249
0.5,-5.831521056761713e-06,0.0748202313058682,0.12500000000001243,-0.09348042603044115,5.166556838302045e-06,0.10633531307978594
0.6000000000000001,-8.397390307767253e-06,0.10774113291124698,0.17999999971732425,-0.13461181327242683,7.439841836252346e-06,0.15312285059441427
0.7000000000000001,-1.1429781204654912e-05,0.14664765252691442,0.24499999860902152,-0.183221633979417,1.0126451347284242e-05,0.20841721245308967
0.8,-1.492869378594138e-05,0.19153979064705162,0.31999999750071834,-0.23930988876884182,1.3226385405522394e-05,0.2722183993581476
0.9,-1.8894127704072234e-05,0.24241754281242706,0.40499998894250544,-0.3028765720693357,1.673964370304376e-05,0.34452640497208076
1.0,-2.332608323482614e-05,0.299280912561367,0.49999997884576225,-0.3739216883016847,2.0666226484180163e-05,0.42534123432359594
1.1,-2.8224560032807305e-05,0.36212989546233587,0.6049999598068502,-0.45244523192912667,2.500613344292105e-05,0.5146628811145475
1.2,-3.358955845142362e-05,0.43096449604966675,0.7199999394011487,-0.5384472086168591,2.9759364892375454e-05,0.6124913517891781
1.3,-3.942107843913912e-05,0.5057847136621374,0.8449999165239732,-0.6319276175387508,3.4925920786884025e-05,0.718826645407752
1.4,-4.571911981031144e-05,0.5865905459178984,0.9799998871960359,-0.732886455718918,4.050580096197306e-05,0.8336687585851587
1.5,-5.20924605346745e-05,0.6683624923263465,1.1166139168863365,-0.8350523572963902,4.6152394158349834e-05,0.9498839235308338
1.6,-5.8002591147123106e-05,0.7441913087366561,1.2432989308973048,-0.9297929099477275,5.138859676374021e-05,1.0576526485498219
1.7000000000000002,-6.344620007517289e-05,0.8140345066424955,1.359983944908273,-1.0170550285166295,5.621147482192429e-05,1.1569145485224266
1.8,-6.842328731882386e-05,0.8778920860438653,1.4666689589192412,-1.0968387130030972,6.062102833290214e-05,1.247669623448649
1.9,-7.293385287807601e-05,0.9357640469407651,1.56335397293021,-1.1691439634071301,6.461725729667371e-05,1.3299178733284884
2.0,-7.697789675292931e-05,0.9876503893331948,1.650038986941179,-1.2339707797287278,6.820016171323901e-05,1.4036592981619451
2.1,-8.055541894338395e-05,1.0335511132211566,1.7267240009521507,-1.2913191619678932,7.136974158259817e-05,1.4688938979490214
2.2,-8.366641944943968e-05,1.073466218604647,1.7934090149631208,-1.3411891101246223,7.4125996904751e-05,1.525621672689713
2.3,-8.631089827109656e-05,1.1073957054836674,1.8500940289740906,-1.383580624198916,7.64689276796975e-05,1.5738426223840216
2.4,-8.848885540835453e-05,1.1353395738582166,1.8967790429850586,-1.4184937041907735,7.839853390743769e-05,1.6135567470319456
2.5,-9.020029086121369e-05,1.157297823728296,1.9334640569960269,-1.4459283501001963,7.991481558797161e-05,1.6447640466334872
2.6,-9.144520462967409e-05,1.1732704550939064,1.9601490710069969,-1.4658845619271856,8.101777272129933e-05,1.6674645211886472
2.7,-9.222359671373565e-05,1.1832574679550465,1.9768340850179664,-1.4783623396717394,8.170740530742076e-05,1.6816581706974238
2.8,-9.253546711339837e-05,1.1872588623117164,1.9835190990289358,-1.4833616833338583,8.198371334633592e-05,1.6873449951598174
2.81685014,-9.254209002368447e-05,1.187343836313328,1.9836610626397941,-1.4834678498844491,8.198958105085369e-05,1.6874657611198698
